名字,类型,教程,百度,夸克,迅雷,移动,蓝奏云【??里输??里的提取码，可以直接下单本txt】,uc,联系方式,日期,查询编号！,备注
电影天堂,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13405,??软件
毒舌电影,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13406,??软件
瓜子影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13407,??软件
花小猪影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13408,??软件
华数TV,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13409,??软件
壳儿影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13410,??软件
零度影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13411,??软件
随心影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13412,??软件
小黄人影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13413,??软件
星影视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13414,??软件
壹影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13415,??软件
影视仓,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13416,??软件
YIYI影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13417,??软件
追忆影视,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13418,??软件
电影驿站 Ver.1.1.8 本地会员版 去更新 去公告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13419,??软件
华数TV Ver.9.0.1.99 会员版.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13420,??软件
即看影视 Ver.1.0.98 去广告 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13421,??软件
荐片 Ver.4.6.0 去广告 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13422,??软件
剧永久影视（剧下饭）Ver.1.96 免广告 禁止广告初始化 去更新 去公告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13423,??软件
梨园行戏曲 Ver.4.6.0 会员版 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13424,??软件
喵物次元 Ver.6.0.0 去广告 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13425,??软件
free影视 Ver.3.5.1 禁止广告初始化 去更新 去除获取隐私权限 去除友盟 其他布局调整.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13426,??软件
【TV电视端】喵影视TV Ver.3.8.0 纯净版.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13427,??软件
水滴视频 Ver.1.0.3 免广告 会员版 去更新 去除公告 禁止广告初始化.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13428,??软件
新大师兄影视 Ver.3.4.0 禁止广告初始化.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13429,??软件
影视大全 Ver.6.2.4 免广告版 去更新 禁止广告初始化.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13430,??软件
影视猫 Plus（原：布蕾4K）Ver.4.8.0 禁止广告初始化 去除更新 去除友盟 其他布局调整.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13431,??软件
百度网盘批量转存工具,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/487a00e9298e,,,,,WX:hecbof     qq群:344182238,2026/4/9,13432,??软件
Clash for Android_2.5.12.premium.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/163MXAQ-bXV5avpZC6InOWQ?pwd=9gw3,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13433,??软件
Clash Meta for Android_2.11.17.Meta.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/163MXAQ-bXV5avpZC6InOWQ?pwd=9gw3,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13434,??软件
FlClash-0.8.90-android-arm64-v8a.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/163MXAQ-bXV5avpZC6InOWQ?pwd=9gw3,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13435,??软件
v2rayNG_1.8.5,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/163MXAQ-bXV5avpZC6InOWQ?pwd=9gw3,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13436,??软件
4K草莓熊,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13437,??软件
4K剧下饭,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13438,??软件
爱看剧场,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13439,??软件
爱奇艺,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13440,??软件
爱壹帆,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13441,??软件
哔哩哔哩（bilibili）,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13442,??软件
仓鼠4K,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13443,??软件
次元城动画,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13444,??软件
大鱼视频（紫树视频）,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13445,??软件
动漫共和国,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13446,??软件
豆丁视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13447,??软件
番喜视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13448,??软件
咕噜咕噜,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/5c9f42803e6b,,,,,WX:hecbof     qq群:344182238,2026/4/9,13449,??软件
